5雅典娜澡堂洗澡！气到敌方投降！！！    正恒-许仙   98.7万
一个钻石主播的日常苦逼生活    青戈   102
娱乐，不加    我是一颗小虎牙   102
礼物🎁    小宝宝   101
嘿嘿嘿一起来玩呀    niubi911   99
走走道丢了……    半仙儿   97
王者荣耀直播    Foam泡沫   94
听    忠孝两全   93
安排    半仙   89
冲锋荣耀王者边路橘子钟无艳    牛有德   89
单排上50星，打野带躺    虎牙玄露柯   88
来王者农药    我是一颗小虎牙   86
无锡第一婉儿    小小何啊小小何   86
神经病    爺就是王吾等跪下、   83
带粉主播    杰萧只玩打野   82
凯皇秒人    相伴一生   81
新人主播有没有一起玩的    皮老崔   80
冲动的惩罚    老板来十斤小龙虾   78
不会打野的小仙女    Sandy   78
黄金单排    我是一颗小虎牙   77
冲省级妲己    恋上香烟的火柴   76
娱乐游戏    梦千寻   76
花花的小迷弟    回手掏   76
一起疯狂    导演幸福   75
带粉    阿伟真滴帅   74
20星通宵    初音-兵长   69
星耀局练诸葛    玄机子   60
随便混混，钻石冲分    灵魂灬大柠萌   60
我的世界需要你    我是一颗小虎牙   58
新手直播，主用法控    旋风   58
贫瘠区    回眸一笑   56
在线收徒，留意可加Q    枫夏丶夏迹   54
王者荣耀找小伙伴一起玩，本人技术不咋样    w哭了誰會心疼   48
日常代练！！！    栀虞   44
坑神    神谴   43
跟女朋友双排    小虎牙   43
钻石💎 小号上分来来来    时光爱恋   43
妹子打王者化作小菜鸡    霞   40
一个很菜的人    虎纹鲨鱼   40
娱乐    玖雯雯   39
娱乐单挑    十三月   39
王者荣耀：单排上分    阿才哥   38
单挑黑粉    浪子无雅   10
练    我是一颗小虎牙   5
单排上星    施主xph   4
元哥直播中    李普元   4
嘻嘻    余生陪你浪   1
一路向西    莫不静好【珎兮妳珄】   1
虎牙小菜鸡进来点点关注呗    72k贼帅   1
寒琴雅典娜视觉盛宴    南拥夏栀i   1
国服阿珂 35星单排开怼！    骚帅   1
一路向西    莫不静好【珎兮妳珄】   1
